"DateTime","Final price","Historical low"
"2018-07-09 15:50:15",139,139
"2018-10-04 17:10:27",111.2,111.2
"2018-10-12 19:38:56",139,111.2
"2018-11-21 19:04:45",91.74,91.74
"2018-11-27 19:29:36",139,91.74
"2018-12-06 18:21:51",91.74,91.74
"2018-12-08 18:20:36",139,91.74
"2018-12-20 18:53:43",91.74,91.74
"2019-01-03 20:12:19",139,91.74
"2019-01-21 19:52:00",91.74,91.74
"2019-01-25 18:20:47",139,91.74
"2019-02-04 19:37:38",91.74,91.74
"2019-02-11 18:18:46",139,91.74
"2019-04-04 00:20:32",91.74,91.74
"2019-04-08 17:11:11",139,91.74
"2019-04-25 17:11:34",91.74,91.74
"2019-05-06 17:31:06",139,91.74
"2019-06-25 19:13:46",69.5,69.5
"2019-07-09 20:32:28",139,69.5
"2019-08-09 17:24:24",69.5,69.5
"2019-08-14 17:10:50",139,69.5
"2019-08-20 17:11:44",69.5,69.5
"2019-08-24 17:11:27",139,69.5
"2019-09-12 01:13:11",69.5,69.5
"2019-09-20 17:13:45",139,69.5
"2019-10-25 13:10:12",69.5,69.5
"2019-11-01 17:18:49",139,69.5
"2019-11-26 18:08:19",69.5,69.5
"2019-12-03 18:11:38",139,69.5
"2019-12-12 18:05:31",69.5,69.5
"2019-12-14 18:12:32",139,69.5
"2019-12-19 18:06:30",55.6,55.6
"2020-01-02 18:13:38",139,55.6
"2020-01-09 17:00:08",98,55.6
"2020-01-23 18:11:18",78.4,55.6
"2020-01-27 19:25:09",98,55.6
"2020-02-11 18:05:24",64.68,55.6
"2020-02-17 18:16:24",98,55.6
"2020-03-19 17:13:48",64.68,55.6
"2020-03-31 18:30:45",98,55.6
"2020-04-30 17:05:19",64.68,55.6
"2020-05-06 17:08:11",98,55.6
"2020-06-25 17:07:44",64.68,55.6
"2020-07-09 18:04:22",98,55.6
"2020-09-24 17:16:54",64.68,55.6
"2020-10-05 17:04:37",98,55.6
"2020-10-29 17:03:13",64.68,55.6
"2020-11-02 19:18:19",98,55.6
"2020-11-25 18:07:17",64.68,55.6
"2020-12-01 18:15:06",98,55.6
"2020-12-09 18:02:49",64.68,55.6
"2020-12-14 18:39:02",98,55.6
"2020-12-22 18:13:59",64.68,55.6
"2021-01-05 18:48:20",98,55.6
"2021-02-11 18:07:21",64.68,55.6
"2021-02-15 18:57:48",98,55.6
"2021-05-27 17:07:39",64.68,55.6
"2021-05-31 17:20:53",98,55.6
"2021-06-24 19:13:55",64.68,55.6
"2021-07-08 18:20:05",98,55.6
"2021-08-12 21:21:16",64.68,55.6
"2021-08-19 17:18:38",98,55.6
"2021-09-29 15:12:11",64.68,55.6
"2021-10-04 17:07:37",98,55.6
"2021-10-28 17:38:09",64.68,55.6
"2021-11-01 17:56:50",98,55.6
"2021-11-24 18:13:44",64.68,55.6
"2021-11-24 18:30:36",64.68,55.6
"2021-12-01 18:20:34",98,55.6
"2021-12-08 18:01:43",64.68,55.6
"2021-12-13 18:01:54",98,55.6
"2021-12-22 18:02:44",64.68,55.6
"2022-01-05 18:21:09",98,55.6
"2022-03-14 18:39:30",49,49
"2022-03-21 17:22:00",98,49
"2022-04-27 17:01:50",49,49
"2022-05-11 17:01:48",98,49
"2022-06-13 17:22:01",49,49
"2022-07-07 17:22:39",98,49
"2022-08-03 17:01:43",49,49
"2022-08-16 17:01:47",98,49
"2022-09-19 17:21:59",49,49
"2022-10-02 17:01:41",98,49
"2022-11-10 18:05:03",49,49
"2022-11-29 18:22:44",98,49
"2022-12-22 18:09:45",49,49
"2023-01-05 18:30:20",98,49
"2023-01-19 18:01:51",49,49
"2023-01-31 18:01:50",98,49
"2023-03-03 18:01:47",49,49
"2023-03-23 17:22:37",98,49
"2023-04-24 17:22:06",49,49
"2023-05-07 17:01:45",98,49
"2023-06-06 17:01:45",49,49
"2023-06-20 17:01:43",98,49
"2023-06-29 17:32:30",49,49
"2023-07-13 17:22:40",98,49
"2023-07-24 17:22:02",49,49
"2023-08-07 17:21:58",98,49
"2023-09-11 17:21:58",49,49
"2023-09-25 17:21:58",98,49
"2023-10-25 18:35:02",49,49
"2023-11-07 19:35:02",98,49
"2023-11-21 18:10:28",49,49
"2023-11-28 18:27:55",98,49
"2023-12-07 18:01:53",32.34,32.34
"2024-01-04 18:28:14",98,32.34
"2024-01-24 18:01:38",32.34,32.34
"2024-01-30 18:01:41",98,32.34
"2024-02-29 18:01:45",32.34,32.34
"2024-03-21 17:28:06",98,32.34
"2024-04-15 17:22:03",32.34,32.34
"2024-04-29 17:22:00",98,32.34
"2024-05-29 17:01:47",32.34,32.34
"2024-06-12 17:01:40",98,32.34
"2024-06-27 17:51:08",32.34,32.34
"2024-07-11 17:27:55",98,32.34
"2024-08-12 17:22:03",32.34,32.34
"2024-08-25 17:01:37",98,32.34
"2024-09-24 17:01:43",32.34,32.34
"2024-10-08 17:01:37",98,32.34
"2024-11-07 16:56:18",98,32.34
"2024-11-07 16:56:18",,32.34
